Designator,Mid X,Mid Y,Rotation,Layer
C1,140.695,-106.014198,270.0,bottom
C13,137.122,-101.471332,0.0,top
C14,137.122,-110.524332,0.0,top
C2,169.399,-102.221668,270.0,top
C3,133.422,-101.471332,180.0,top
C4,169.399,-106.005,270.0,top
C5,163.875,-106.005,90.0,top
C6,162.128,-105.999668,90.0,top
C7,133.422,-110.524332,180.0,top
C8,173.185,-106.014198,270.0,bottom
D2,172.753,-106.014198,270.0,top
D3,149.873,-101.495,0.0,top
F1,175.09,-102.06,90.0,top
FB1,172.53,-101.299,180.0,top
J1,179.19,-106.014198,0.0,bottom
J2,134.69,-106.014198,0.0,bottom
J3,144.239999,-110.26,90.0,top
J4,169.639999,-110.26,90.0,top
J6,156.94,-110.26,90.0,top
P1,179.030264,-106.012332,90.0,top
R10,146.672998,-101.495,180.0,top
R3,173.425262,-103.812332,0.0,top
R4,174.94,-108.47,90.0,top
R5,164.395,-102.221668,270.0,top
R6,162.911,-102.221668,90.0,top
U1,166.899,-106.005,90.0,top
U10,166.8615,-102.203668,90.0,top
U2,156.94,-104.515,180.0,top
U3,135.276,-105.997832,0.0,top
