Designator,Footprint,Quantity,Value,LCSC Part #,
"C13,C8,C1",805,3,10uF,C15850,
C14,805,1,22uF,C45783,
"C2, C4, C5",805,3,10 uF,C15850,
"C3, C7",805,2,100nF,C49678,
C6,603,1,10nF,C57112,
D2,SOT-143,1,PRTR5V0U2X,C5158049,
D3,603,1,Red,C965799,
F1,603,1,Polyfuse,C18203128,
FB1,805,1,Ferrite Bead,C85840,
"J1, J2",PinHeader_2x03_P2.54mm_Vertical_SMD,2,Bottom,C3294461,
"J3, J4",PinHeader_1x03_P2.54mm_Vertical,2,Select,C5360899,
P1,USB-C-16Pin,1,,C2927038,
"R10, R5",603,2,5.1k,C23186,
"R3, R4",402,2,5.1k,C25905,
R6,603,1,100,C22775,
U1,TPS22918,1,TPS22918,C131941,
U10,SOT-363_SC-70-6,1,LM66100DCK,C2869734,
U2,on/off switch,on/off switch,on/off switch,C2939725,or side: C50878478
U3,SOT-223-3_TabPin2,1,AP2114H-3.3TRG1,C150716,
